column,value,count,pct
atua_como,Interno,69,67.65
atua_como,Terceiro,33,32.35
bool_cert,0,35,34.31
bool_cert,1,67,65.69
provedor,AWS,39,38.24
provedor,Azure,18,17.65
provedor,GCP,45,44.12
maior_desafio,Variedade,41,40.2
maior_desafio,Velocidade,27,26.47
maior_desafio,Volume,34,33.33
tam_equipe,"[0,5]",17,16.67
tam_equipe,"]10,20]",21,20.59
tam_equipe,"]20,35]",7,6.86
tam_equipe,"]35,+∞]",31,30.39
tam_equipe,"]5,10]",26,25.49
avaliacao,1,2,1.96
avaliacao,2,6,5.88
avaliacao,3,17,16.67
avaliacao,4,47,46.08
avaliacao,5,30,29.41
porte,"[0,20]",3,2.94
porte,"]100,500]",17,16.67
porte,"]20,50]",15,14.71
porte,"]500,+∞]",67,65.69
tam_investimento,"[0,10]",4,3.92
tam_investimento,"]10,20]",8,7.84
tam_investimento,"]100,+∞]",39,38.24
tam_investimento,"]20,30]",9,8.82
tam_investimento,"]30,50]",7,6.86
tam_investimento,"]50,100]",16,15.69
posicao,Dev,68,66.67
posicao,Gestão,34,33.33
segmentacao,B2ALL,48,47.06
segmentacao,B2B,33,32.35
segmentacao,B2C,21,20.59
bool_experiencia,0,28,27.45
bool_experiencia,1,74,72.55
tempo,"[0,3]",23,22.55
tempo,"]12,18]",9,8.82
tempo,"]18,+∞]",4,3.92
tempo,"]3,6]",43,42.16
tempo,"]6,12]",23,22.55
bool_mtd_scrum,0,30,29.41
bool_mtd_scrum,1,72,70.59
bool_mtd_kanban,0,47,46.08
bool_mtd_kanban,1,55,53.92
bool_mtd_okr,0,64,62.75
bool_mtd_okr,1,38,37.25
bool_mtd_safe,0,91,89.22
bool_mtd_safe,1,11,10.78
bool_mtd_classica,0,91,89.22
bool_mtd_classica,1,11,10.78
bool_src_sql,0,7,6.86
bool_src_sql,1,95,93.14
bool_src_api,0,24,23.53
bool_src_api,1,78,76.47
bool_src_nosql,0,63,61.76
bool_src_nosql,1,39,38.24
bool_src_outros,0,69,67.65
bool_src_outros,1,33,32.35
bool_alt_eqp,0,68,66.67
bool_alt_eqp,1,34,33.33
bool_alt_bd,0,71,69.61
bool_alt_bd,1,31,30.39
bool_alt_sol,0,102,100.0
bool_alt_custo,0,72,70.59
bool_alt_custo,1,30,29.41
bool_alt_tec,0,71,69.61
bool_alt_tec,1,31,30.39
bool_falha_gov,0,64,62.75
bool_falha_gov,1,38,37.25
bool_falha_dev,0,65,63.73
bool_falha_dev,1,37,36.27
bool_falha_aus_info,0,102,100.0
bool_falha_pln_custo,0,79,77.45
bool_falha_pln_custo,1,23,22.55
bool_falha_gst_lid,0,78,76.47
bool_falha_gst_lid,1,24,23.53
bool_falha_usu,0,79,77.45
bool_falha_usu,1,23,22.55
qt_alteracoes,0,44,43.14
qt_alteracoes,1,17,16.67
qt_alteracoes,2,18,17.65
qt_alteracoes,3,19,18.63
qt_alteracoes,4,4,3.92
qt_falhas,0,32,31.37
qt_falhas,1,29,28.43
qt_falhas,2,17,16.67
qt_falhas,3,16,15.69
qt_falhas,4,6,5.88
qt_falhas,5,2,1.96
